all	A-1	A-2	A-3	B-1	B-2	B-3	C-1	C-2	C-3	D-1	D-2	D-3	E-1	E-2	E-3	F-1	F-2	F-3	G-1	G-2	G-3	H-1	H-2	H-3
Dpt-JrMYB44	0.502941944	0.460564581	0.739196878	3.026864344	3.319426633	2.072239122	0.351306625	0.44640814	0.304192837	0.38089813	0.59420628	0.556043145	0.407451002	0.416069816	0.395440179	0.339347638	0.281655337	0.453600559	0.4729344	0.386549472	0.47901847	2.36785657	2.482018421	2.094495274
Dpt-JrMYB13	0.215418993	0.261060348	0.233493614	5.411972247	3.950412448	4.050224346	0.591488173	0.495257577	0.544221914	0.085535918	0.074351985	0.20982358	8.81146827	9.692724692	8.00949854	28.54541306	34.04830308	32.55226297	1.457833723	1.960180409	1.660927364	0.338642595	0.540983358	0.46883153
Dpt-JrC4H	2.441138885	2.08716275	6.546667497	0.22337554	0.078062616	0.137001698	0.138158701	0.112285569	0.084196529	8.012456315	6.393613631	2.977339703	1.356658295	0.858531577	1.154230776	0.864516989	0.623647392	1.514711969	0.094873729	0.387017798	1.193194343	0.198943646	0.079587247	0.032457436
Dpt-Jr4CL	0.17590257	0.410848309	1.410718822	2.149853837	1.630651199	4.016228418	3.947473121	1.282350682	6.214906637	1.30353316	3.908279727	8.504702195	10.68357234	3.569816285	11.8538805	9.425981864	10.62952102	9.698274906	0.984691814	1.587222051	0.611574386	1.448155926	1.594714054	1.417871734
Dpt-JrCAD	3.251747159	3.361605833	3.291709632	0.182745664	0.500752266	0.676093389	0.76961707	0.323277187	1.668756713	1.815977941	1.805669226	1.268900225	0.950522339	0.618922684	3.612154975	0.307623687	0.956709449	2.064847317	0.123482401	0.986644702	1.098236946	1.975151685	4.728960474	7.724769019
Dp-JrMYB44	0.480883323	0.54117956	0.453877854	0.527886663	0.577564967	0.753634891	2.540128855	1.446250038	2.108857243	1.412949282	2.401280419	1.199408435	0.661440071	0.926989334	1.115965491	0.436953121	0.505439975	0.734879393	1.4136655	2.076787145	1.892637816	0.467760085	0.465687441	0.462780111
Dp-JrMYB13	0.355804101	0.383679877	0.259136868	0.698675471	0.50114681	0.95000816	0.977776578	1.157418467	0.722438409	3.682130142	3.880609704	2.351745582	14.29291768	16.33917994	21.37197139	57.09764526	61.23687083	44.51031748	36.50208188	42.12242444	53.90443002	13.27480903	16.65511631	17.17762557
Dp-JrC4H	0.555194242	0.433664037	0.521894865	0.384222732	0.33320209	0.57602801	14.28910926	7.808702013	8.963944164	46.07188264	13.70542215	7.334570979	1.552111454	1.56608866	1.216165599	3.6454167	4.031591079	4.550623905	11.57916487	10.95038782	10.79588701	10.9404031	11.49059356	11.45596387
Dp-Jr4CL	0.184176045	0.05109523	0.280322635	1.056887305	0.82521295	1.16001444	2.547809541	1.507344845	1.281164048	0.689828053	3.547508236	2.635836778	0.657971133	0.638233661	1.073916182	0.652644749	0.573140745	0.929117693	1.649197901	1.887409606	3.323679742	6.519823892	5.268155114	5.475933544
Dp-JrCAD	2.065258681	1.000263562	1.708166035	0.226148084	0.325798551	0.5729838	1.918184858	1.169094876	0.738084475	6.6876599	2.183893122	3.228511138	0.759913577	0.617965384	0.893181525	2.921064383	3.5599674	4.090926057	1.038483518	2.075224119	5.015262068	4.869282485	2.025364365	4.561779782
