otu	OTU799	OTU768	OTU711	OTU943	OTU1091	OTU434	OTU788	OTU1151	OTU501	OTU500	OTU503	OTU502	OTU505	OTU504	OTU507	OTU506	OTU509	OTU508	OTU804	OTU712	OTU1090	OTU1156	OTU1106	OTU480	OTU481	OTU482	OTU483	OTU484	OTU485	OTU338	OTU339	OTU336	OTU337	OTU334	OTU335	OTU332	OTU333	OTU330	OTU331	OTU1093	OTU928	OTU730	OTU806	OTU950	OTU805	OTU349	OTU348	OTU439	OTU438	OTU343	OTU342	OTU341	OTU340	OTU347	OTU346	OTU345	OTU344	OTU655	OTU654	OTU158	OTU159	OTU651	OTU650	OTU653	OTU652	OTU152	OTU153	OTU150	OTU151	OTU156	OTU157	OTU154	OTU155	OTU938	OTU939	OTU1020	OTU924	OTU930	OTU888	OTU932	OTU933	OTU934	OTU935	OTU936	OTU889	OTU1037	OTU800	OTU921	OTU1189	OTU1036	OTU1187	OTU1186	OTU899	OTU920	OTU1183	OTU1035	OTU1181	OTU1180	OTU237	mOTU236	mOTU235	mOTU234	mOTU233	mOTU232	mOTU231	mOTU230	mOTU1060	mOTU1033	mOTU1062	mOTU1063	mOTU1064	mOTU886	mOTU239	mOTU238	mOTU892	mOTU1165	mOTU887	mOTU706	mOTU1164	mOTU898	mOTU880	mOTU1030	mOTU881	mOTU61	mOTU60	mOTU63	mOTU62	mOTU65	mOTU64	mOTU67	mOTU66	mOTU69	mOTU68	mOTU734	mOTU883	mOTU808	mOTU809	mOTU802	mOTU1135	mOTU1096	mOTU1132	mOTU781	mOTU1100	mOTU952	mOTU988	mOTU1114	mOTU1115	mOTU1116	mOTU1117	mOTU1110	mOTU1111	mOTU1112	mOTU1113	mOTU1185	mOTU1131	mOTU1118	mOTU1119	mOTU803	mOTU951	mOTU750	mOTU751	mOTU1034	mOTU885	mOTU978	mOTU954	mOTU979	mOTU756	mOTU884	mOTU774	mOTU757	mOTU611	mOTU610	mOTU620	mOTU613	mOTU621	mOTU612	mOTU1008	mOTU853	mOTU615	mOTU1009	mOTU614	mOTU1006	mOTU1056	mOTU617	mOTU1007	mOTU616	mOTU1004	mOTU1134	mOTU471	mOTU470	mOTU473	mOTU472	mOTU475	mOTU474	mOTU477	mOTU476	mOTU479	mOTU478	mOTU977	mOTU629	mOTU578	mOTU579	mOTU1000	mOTU1195	mOTU570	mOTU571	mOTU572	mOTU573	mOTU574	mOTU575	mOTU576	mOTU577	mOTU619	mOTU618	mOTU752	mOTU753	mOTU754	mOTU755	mOTU208	mOTU209	mOTU206	mOTU207	mOTU204	mOTU205	mOTU202	mOTU203	mOTU200	mOTU201	mOTU1192	mOTU848	mOTU891	mOTU1193	mOTU682	mOTU683	mOTU680	mOTU681	mOTU686	mOTU486	mOTU684	mOTU685	mOTU688	mOTU487	mOTU763	mOTU716	mOTU372	mOTU373	mOTU279	mOTU278	mOTU376	mOTU377	mOTU374	mOTU375	mOTU273	mOTU272	mOTU271	mOTU270	mOTU277	mOTU276	mOTU275	mOTU274	mOTU105	mOTU104	mOTU107	mOTU106	mOTU101	mOTU100	mOTU103	mOTU102	mOTU725	mOTU713	mOTU109	mOTU108	mOTU724	mOTU295	mOTU294	mOTU297	mOTU296	mOTU291	mOTU290	mOTU293	mOTU292	mOTU732	mOTU871	mOTU726	mOTU299	mOTU298	mOTU852	mOTU687	mOTU1154	mOTU1191	mOTU1032	mOTU890	mOTU1011	mOTU704	mOTU1013	mOTU1012	mOTU896	mOTU1014	mOTU198	mOTU199	mOTU196	mOTU197	mOTU194	mOTU195	mOTU192	mOTU193	mOTU190	mOTU191	genedfrF	genelnuA	geneOXA-226	genemsrE	genemdtP	geneQnrS6	geneaadA23	geneTEM-116	genegadX	geneOXA-61	geneTEM-43	genemdtF	genesrmB	genecatB3	genecpxA	geneOXA-236	genetetE	geneCfxA2	genenpmA	genesdiA	genevanRF	genecmlA5	geneAPH3-VIIa	genevanXYG	genelsaE	geneCfxA6	geneOXA-85	genevatD	geneAPH3-Ia	geneCfxA4	geneErmQ	geneTEM-148	geneTEM-1	geneCARB-14	genemdtH	genelnuC	geneQnrS1	geneAPH2-IVa	genemdtA	genetetW	genevanSG	genesul3	genevanRL	geneaadK	genecatB8	genedfrG	geneCARB-3	geneOXA-4	genedfrD	geneamrB
A1	0	3	3	4	0	8	0	0	2	3	8	21	0	1	3	0	2	2	1	1	2	0	1	1	1	4	16	0	0	31	0	1	54	12	0	0	9	19	11	0	0	3	0	1	1	0	1	33	2	7	9	1	6	29	5	40	1	3	8	24	1	0	0	1	3	13	3	5	20	73	2	2	10	0	0	0	0	0	0	6	34	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	73	40	0	29	2	14	55	0	0	4	0	0	2	53	27	0	0	0	11	0	2	0	0	0	108	55	374	45	461	123	18	40	52	71	0	8	0	8	2	2	0	0	0	1	29	1	15	1	1	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	1	0	0	0	1	0	10	0	7	5	3	7	0	2	0	0	1	1	0	0	11	0	0	3	2	3	32	5	6	0	10	2	4	0	0	4	3	0	0	22	2	14	0	6	6	6	1	0	0	2	1	0	1	100	2	12	120	0	15	16	13	12	19	0	0	1	0	0	2	3	0	13	7	1	0	0	0	0	1	0	2	4	2	2	16	21	2	9	1	40	13	9	32	10	1	31	79	37	92	53	0	210	87	0	4	2	113	2	16	36	27	25	20	16	0	23	2	0	1	16	29	1	0	0	0	2	3	0	3	0	1	2	0	8	70	22	17	58	22	45	106	0	32	0.108858	0.110874	0.032539	0.759348	0.066116	0.016403	0.013817	0.012517	0.117566	0.027847	0.025033	0.038069	0.052157	0.042563	0.094121	0.103749	0.008848	11.451858	0.016329	0.014906	0.015484	0.008553	0.028624	1.162215	2.767949	29.625675	4.761562	0.070094	0.356589	7.028418	1.517678	0.012517	0.012517	0.012014	0.04457	64.933588	0.016403	0.02379	0.051812	33.902354	0.009735	0.081643	0.030968	0.025209	0.051075	3.170315	0.005889	0.012969	0.022039	0.003441
A2	0	3	23	1	0	6	0	0	0	3	26	55	0	7	9	0	2	5	0	1	0	4	3	1	0	6	39	0	1	41	3	6	62	8	0	0	2	20	12	2	1	1	0	1	1	1	3	29	16	1	3	0	26	17	1	35	1	0	12	12	2	3	1	2	5	14	2	1	0	71	2	0	8	5	0	0	0	0	0	8	31	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	45	26	0	33	1	16	176	0	1	0	0	4	0	68	197	0	0	0	2	0	1	1	0	0	175	88	422	91	562	242	11	49	40	133	0	3	0	6	1	2	0	0	0	3	15	0	3	0	1	0	1	0	3	0	0	0	0	0	17	2	1	0	0	2	0	0	0	0	0	0	4	0	38	1	4	0	0	7	0	3	0	0	0	1	0	5	15	1	0	8	1	11	7	0	6	4	13	2	9	0	0	6	11	0	0	21	1	24	0	0	5	7	4	0	0	4	2	0	0	86	0	19	74	1	38	32	9	22	34	0	0	3	0	0	8	8	3	17	7	6	0	0	0	0	0	2	0	0	7	6	10	9	0	18	1	58	18	10	32	42	0	11	118	22	94	68	0	169	212	0	0	8	168	1	83	59	23	50	24	45	1	19	5	0	4	14	24	5	1	0	2	9	0	0	2	0	3	0	1	5	62	0	2	47	15	227	57	2	63	0.227768	0.379614	0	0.944405	0.579901	0	0.026281	0	0.894509	0.039727	0.011904	0.628667	0.074407	0.089056	0.507257	0.012334	0	7.650047	0.124237	0.014176	0.029453	0.085413	0	0.060292	0.860506	19.809675	2.384869	0.008333	0.226094	5.459014	1.178569	0	0.011904	0.022853	0.398453	73.47601	0.187207	0	0.46813	55.84685	0.009259	0.724718	0.014726	0.047951	0.008096	0.565991	0.005601	0.024668	0.062881	0.003273
A3	0	8	1	14	3	10	3	0	1	6	6	26	0	0	10	9	2	8	1	1	0	1	2	1	3	4	28	1	0	25	1	4	65	5	0	0	8	48	13	0	1	2	0	0	1	0	4	24	4	16	3	2	9	39	4	10	1	21	9	41	2	0	5	3	2	19	17	8	2	154	5	0	9	2	0	0	1	0	0	2	99	1	0	1	1	0	0	3	0	0	0	0	3	2	0	0	0	0	0	56	26	0	23	2	3	102	0	1	0	0	16	5	42	8	0	1	0	9	2	2	2	0	0	221	83	258	114	296	145	30	13	69	105	0	9	0	4	1	1	0	0	0	0	11	3	15	0	0	0	1	0	1	0	0	1	1	0	4	4	0	0	1	1	0	0	0	0	0	0	1	0	3	1	7	13	2	4	1	8	0	1	0	1	1	1	12	2	1	5	3	4	31	3	9	5	5	8	0	0	0	3	11	1	0	12	6	18	0	15	5	4	5	4	0	7	0	0	0	59	5	13	118	0	25	33	12	19	31	0	0	0	0	0	0	11	0	10	18	1	0	0	1	0	0	0	2	9	3	1	18	12	3	14	1	22	7	21	12	10	1	41	51	17	142	91	0	61	114	0	6	8	172	5	5	16	32	22	12	34	1	49	2	1	2	32	13	1	0	0	0	3	2	0	2	0	2	1	0	11	63	49	76	59	101	16	53	0	55	0.103615	0.035178	0.020648	0	0.011654	0	0	0	0	0	0	0	0.062056	0	0.012443	0	0	9.530503	0	0	0	0	0	0.022348	0.467815	16.547216	2.435972	0.027799	0.083806	7.052749	0.839363	0	0	0	0	86.190543	0	0	0	59.459316	0	0.021586	0	0	0	0.03433	0	0	0	0.010917
A4	0	4	0	13	1	10	0	2	4	4	2	3	0	0	6	4	39	8	1	1	1	1	0	0	2	5	38	0	8	31	1	9	15	2	1	1	39	6	11	0	3	2	0	0	0	0	18	14	2	25	3	8	2	27	6	7	1	19	2	100	1	0	3	2	0	22	70	19	11	113	47	0	0	4	0	0	0	1	2	1	65	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	21	1	30	1	4	40	4	0	0	1	0	3	20	1	4	1	0	4	1	1	0	0	3	168	46	177	41	73	96	27	4	28	73	0	1	1	1	5	0	3	1	0	0	34	4	18	0	0	0	1	0	0	3	0	0	1	2	3	2	0	0	1	1	0	0	0	0	0	2	1	0	2	0	5	6	1	0	0	5	0	0	0	0	0	0	6	1	0	6	48	1	8	3	8	3	4	5	1	0	0	2	17	1	0	6	6	14	0	16	2	1	2	0	0	4	1	0	3	60	2	2	87	0	22	13	10	5	70	0	2	1	4	0	2	4	0	4	9	0	0	0	0	0	0	6	17	12	5	2	10	12	4	14	0	8	26	17	1	5	0	70	26	5	81	146	0	23	112	0	4	2	103	3	3	5	19	32	11	16	0	62	0	0	2	20	4	1	0	0	0	1	1	1	1	0	1	2	0	12	14	43	34	41	85	1	18	0	31	0.060802	3.117017	0.012116	0.006797	0.235932	0.091619	0.012862	0	0.571534	0.032404	0	0.323777	0.030346	0.12679	0.321266	0	0	2.663844	0	0	0	0.095545	0.026646	0	1.516068	2.37712	0.052456	0.032625	0.86061	1.355289	0.427732	0.046607	0	0	0.182555	43.696038	0.091619	0	0.30145	48.439587	0	0.494012	0.014414	0.140804	0	0.463337	0.010964	0.006036	0.041032	0.003203
A5	2	1	0	7	0	11	1	2	2	8	0	1	0	0	5	5	41	13	1	0	3	0	0	14	4	2	115	0	9	22	1	4	12	1	1	0	47	6	12	0	2	0	0	3	1	0	37	16	1	10	6	7	1	18	4	1	0	7	1	88	1	0	0	0	2	13	134	29	37	48	87	0	2	8	0	0	1	0	2	0	20	0	0	0	1	0	0	2	0	0	0	1	5	0	0	0	1	0	1	5	13	0	24	2	0	43	3	0	0	0	3	3	29	1	3	0	0	1	0	1	0	0	0	102	40	240	34	55	68	26	2	24	67	0	1	0	1	6	1	1	1	0	0	30	1	42	0	1	0	1	0	0	3	0	0	2	0	0	4	1	0	0	1	0	0	0	0	0	1	1	0	1	2	3	3	3	0	1	2	0	0	0	2	0	0	5	0	0	5	108	0	6	4	10	11	1	2	1	0	0	2	17	0	1	3	1	10	0	1	1	0	3	1	0	5	0	0	1	22	0	3	49	1	49	15	7	5	46	0	0	0	1	0	3	6	1	3	4	3	0	0	0	0	0	13	21	3	4	10	3	8	2	17	0	2	18	13	1	6	3	163	10	33	48	87	1	5	105	0	2	1	60	1	2	1	11	20	4	23	0	30	0	1	1	14	4	1	0	1	1	0	1	0	2	0	2	2	0	16	7	18	12	50	43	2	10	0	26	0.09891	10.552637	0	2.164399	0.108467	0.03726	0.415848	0	0.148364	0	0	0.080578	0.162905	1.140858	0.080175	0	0	2.432805	0	0	0.017586	0.087429	0	0.072	1.126572	2.003141	0	0.049756	1.740007	1.526839	3.320944	0	0	0.034114	0.030372	78.979244	0	0	0.029423	48.35458	0	0.123637	0	0.028632	0.212702	0.516147	0.127083	0.022094	0.100123	0.039081
A6	2	3	0	2	2	8	1	1	3	4	2	5	0	0	9	2	6	5	3	1	0	0	0	18	3	2	38	0	1	14	0	3	14	2	6	0	35	4	15	0	0	3	1	2	0	0	38	17	2	16	3	22	1	15	3	3	1	8	1	66	6	0	1	1	2	59	290	66	42	46	73	0	1	2	0	0	3	0	1	1	23	0	0	0	1	0	0	3	0	0	0	1	2	0	0	0	0	0	1	4	29	0	29	2	1	79	2	1	0	2	1	0	25	0	1	0	0	1	4	1	2	0	5	124	40	318	86	99	80	50	0	13	81	0	1	2	0	1	0	0	1	2	0	14	0	2	0	0	0	1	0	0	5	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	18	1	0	4	0	0	0	0	0	0	9	1	0	3	63	1	4	0	8	8	3	2	0	0	0	5	17	1	0	5	3	6	0	3	1	2	1	1	0	2	0	0	0	30	0	3	28	3	55	23	10	9	48	0	4	0	0	0	1	7	0	4	5	6	0	1	0	0	0	26	54	2	5	15	7	8	0	9	5	0	22	11	2	2	4	237	7	26	31	82	2	6	117	1	2	1	101	1	7	6	19	6	6	21	1	17	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	15	2	31	18	31	41	1	3	1	44	0.202873	0.751382	0	0	0.161801	0	0.035113	0	0.365172	0.011795	0	0.316623	0.022091	0.021633	0.24584	0	0	7.399831	0.193652	0.012627	0.013117	0.028982	0	0.029834	0.948129	6.576574	3.747187	0.074222	0.15663	4.696955	1.250265	0.010603	0.010603	0	0.196329	82.661604	0.069477	0	0.197509	48.178421	0.008247	0.438022	0.065584	0.010678	0	0.586621	0	0	0	0.00583
A7	5	9	0	0	7	13	1	0	26	10	0	6	1	0	14	9	1	11	1	12	0	0	1	1	8	1	8	1	3	64	0	4	64	8	9	0	8	39	7	4	5	9	0	10	2	0	17	47	3	3	5	81	3	49	2	0	0	1	2	13	0	0	2	1	6	97	32	201	5	61	143	0	2	22	0	0	0	3	5	3	12	16	0	2	7	3	0	0	1	0	1	0	3	0	0	0	1	0	0	2	17	0	169	1	1	84	0	0	0	4	0	7	26	3	0	0	0	2	1	9	0	0	3	198	103	278	157	185	234	6	3	10	49	0	5	0	5	1	0	0	0	0	0	174	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	3	0	3	3	0	0	0	0	0	0	5	0	1	0	2	6	0	2	0	4	1	0	3	1	0	0	14	1	0	13	18	2	28	1	7	24	5	9	2	0	0	9	11	2	0	15	1	12	0	1	0	0	7	5	0	3	0	0	10	5	0	3	35	5	35	47	15	21	77	0	3	0	2	0	0	11	1	9	11	10	0	5	0	0	0	9	35	0	3	9	5	30	3	25	1	3	56	24	0	4	89	126	21	17	47	99	13	27	261	0	4	0	255	10	6	2	35	10	21	108	0	7	0	2	3	10	11	3	0	0	0	2	1	0	1	0	5	1	0	172	26	44	18	147	56	1	3	0	159	0.143986	1.433939	0	0.324604	0.043186	0.024107	0.015229	0	0.134387	0	0	0.055948	0.023954	0.212681	0.057637	0	0	3.971925	0	0	0.011378	0.018855	0.042068	0	5.643947	2.051373	0.041408	0.012877	1.300466	2.64795	1.053854	0	0	0.044143	0.019651	45.667705	0.036161	0.008741	0.05711	45.420229	0.014308	0.099991	0.045513	0.12041	0.106341	17.373065	0.008655	0.01906	0.210532	0.002528
A8	0	8	0	0	2	21	2	0	16	4	2	5	0	3	12	11	0	8	2	2	0	0	0	4	2	1	29	0	0	53	0	14	22	5	0	0	0	8	3	0	1	2	0	4	1	0	9	35	0	1	4	11	2	26	3	7	0	0	5	33	1	0	1	3	5	195	0	121	3	46	95	0	1	10	0	0	4	0	2	0	27	9	0	0	1	2	0	2	1	0	1	2	0	0	0	0	0	0	0	0	21	0	92	3	0	47	0	0	0	3	1	0	29	5	0	0	0	3	0	4	1	0	2	249	68	370	109	42	343	4	5	7	33	0	0	0	0	1	0	0	0	0	0	100	0	7	0	1	0	0	0	1	0	0	0	0	0	1	4	4	0	1	0	0	0	0	0	0	0	9	0	0	2	0	4	1	3	0	7	1	0	1	0	0	0	12	3	0	9	2	3	0	0	14	8	2	3	0	0	0	6	23	2	0	2	9	5	1	1	0	0	2	2	0	0	0	0	2	5	2	4	13	4	11	37	17	9	137	0	3	0	0	0	2	3	1	5	14	13	0	3	0	0	1	10	0	0	7	25	13	17	4	12	3	5	63	14	2	0	48	253	29	12	79	257	16	34	276	0	8	2	161	0	11	4	32	7	10	36	1	10	0	2	0	2	5	2	1	0	0	0	4	0	0	0	0	2	0	26	5	13	10	36	20	2	17	0	86	0.153597	2.60364	0	0.732197	0	0	0.0557	0	0.039496	0	0	0.020928	0.07885	0.171588	0.007905	0	0	1.894585	0	0	0	0.017241	0	0.014198	10.219842	3.99674	0.042594	0.052983	0.891817	1.225577	3.438083	0	0	0	0	68.74585	0	0.011988	0.017406	32.95232	0	0	0.171662	0.241367	0.017159	11.352269	0.035612	0.01307	5.419663	0
A9	4	2	0	1	0	20	1	0	5	4	1	3	0	1	7	5	0	11	2	1	0	0	0	4	2	1	33	1	0	24	1	15	17	7	0	0	9	6	10	0	1	8	0	11	0	0	19	37	1	2	7	1	5	10	8	3	0	0	7	85	3	0	1	2	2	75	4	61	0	32	29	0	1	9	0	0	0	0	0	1	56	4	0	0	2	1	0	4	0	0	0	1	2	2	0	0	0	0	0	3	24	0	52	1	0	76	0	1	0	0	2	1	29	2	0	0	0	1	0	1	1	0	5	234	47	319	101	83	223	9	3	10	68	0	0	0	1	4	0	0	0	0	0	84	0	2	2	0	0	0	0	0	0	0	0	0	0	1	4	1	0	4	0	0	0	1	0	0	0	2	0	0	0	15	7	0	2	0	3	0	0	1	0	0	1	13	2	0	7	5	1	6	0	8	6	1	1	0	0	0	3	19	1	0	5	5	8	0	1	3	0	4	3	0	4	0	0	1	18	0	1	9	0	25	24	19	7	78	0	4	0	0	0	1	4	0	6	12	9	0	0	0	0	2	2	1	0	11	19	15	22	2	20	2	9	33	23	2	0	4	312	21	21	87	160	6	14	200	0	6	0	114	2	4	8	25	1	8	34	0	13	0	0	0	11	4	2	0	0	0	0	1	0	3	0	1	1	0	26	6	10	12	69	39	2	16	0	47	0.24486	0.779358	0.128086	9.294695	0.392452	0.046121	0.330208	0	0.606028	0.185958	0	0.442747	0.054994	0.682141	0.396962	0	0.012439	3.246581	0.091822	0.020955	0	0.168341	0	0.029707	3.278885	2.426243	0.772389	0.086224	2.915027	2.219281	1.722562	0	0	0.01689	0.175442	82.992232	0.161423	0.033445	0.29136	50.553664	0	1.119087	0	0.159481	0.191478	2.083983	0.206977	0.018232	0.526712	0.004837
B1	0	1	6	0	1	11	2	0	14	13	4	1	10	0	5	4	2	4	2	0	0	2	0	11	4	0	512	2	0	73	21	21	34	16	1	0	3	14	14	0	5	2	1	0	1	2	4	15	2	24	1	1	21	18	7	30	18	7	0	32	12	6	3	2	0	64	3	1	6	73	2	1	33	2	6	0	1	0	0	0	0	1	2	0	5	0	0	0	1	0	1	1	0	4	1	0	1	0	37	1	36	1	18	33	53	30	0	2	0	0	1	1	35	4	0	0	2	0	1	6	1	3	3	247	253	15	137	323	115	2	119	334	126	0	5	0	2	2	0	0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	7	1	3	0	2	3	1	0	0	0	0	0	2	0	3	14	2	0	0	6	2	0	1	8	0	0	9	3	1	1	0	20	2	0	21	22	10	2	8	2	8	0	1	1	1	1	0	13	6	6	2	5	0	3	2	4	1	2	0	0	6	6	27	31	4	1	51	30	16	54	24	0	0	0	0	0	0	13	1	1	7	1	0	1	14	2	0	0	0	27	49	0	8	0	26	11	31	22	3	20	15	21	6	70	65	29	49	96	11	88	147	6	0	7	81	4	19	5	25	57	17	2	4	4	0	0	2	33	24	3	6	0	3	0	1	0	3	0	3	0	0	19	70	47	62	205	3	11	90	0	1	0.47003	0.680307	0	0.008296	0.187815	0.037277	0.015699	0	0.34139	0.047463	0	0.247742	0.051856	0.03869	0.213896	0	0	4.912153	0.500953	0	0	0	0	0.048022	0.791999	7.616568	0.080036	0.238937	0.315142	2.909262	2.04092	0	0	0	0.192444	84.419892	0.055916	0	0.166806	63.061253	0.011062	0.247384	0	0.014322	0	0.024589	0.006692	0.014736	0	0
